comment,Cleaned_Comment,Sentiment
"As an Italian supporter of Red Bull Racing, this video is pure art cinematography. I love it.",As an Italian supporter of Red Bull Racing this video is pure art cinematography I love it,positive
Please coming Reggio Calabria,Please coming Reggio Calabria,neutral
Tercia de ases 😊,Tercia de ases,neutral
ดอก⭐แท้ถ้าปลอมก็ทางใครทางมันจบแบบไม่มีร้านค้า,,neutral
วางร้านค้าทั่วโลกสำเร็จหรือปล่าวบันชีเอ็มโอ่นายกิตติกวินทร์แสงสุกมีเดิมพันเจ้าของกระทิงแดงเรดบลูแท้<br>ธนาคารโลก,,neutral
Magnifica palermo! I brividii ❤❤,Magnifica palermo I brividii,neutral
Geil gemacht,Geil gemacht,neutral
Awesome video. Great job Max👍🏻🇺🇸🦁,Awesome video Great job Max,positive
"🙏<a href=""http://www.youtube.com/results?search_query=%23amen"">#Amen</a>💘🕯️. cosa👾nostra",Amen cosanostra,neutral
น้อยแดงหมิ่น,,neutral
Che bella palermo,Che bella palermo,neutral
Max Verstappen habla muy elegante el inglés ahora como hablara el holandes,Max Verstappen habla muy elegante el ingls ahora como hablara el holandes,neutral
Ma quanto ti amo palermo,Ma quanto ti amo palermo,neutral
พอดีเป็นโฆษณาเอ็มโอ่ใครจะว่าวัวควายก็ที่นี่อะไร,,neutral
"Palermo! ❤️ la mia città, dove sono cresciuta ❤️😍💖 &quot;Casa&quot;! <br>Poche sono le città al mondo che possono vantare i suoi primati, il suo calore, il suo fascino e la sua bellezza! 💐☀️🥰",Palermo  la mia citt dove sono cresciuta  quotCasaquot Poche sono le citt al mondo che possono vantare i suoi primati il suo calore il suo fascino e la sua bellezza,neutral
เรียกว่าเสียงแตร์เรือเหรอ,,neutral
อ่าวแล้วบ้านหลวงพ่อเสือดำมาอยู่ทำไมหน้ารร.ส่วนบุญรัฐราชชูภูมิภาค<br>เอ็มโอ่,,neutral
ปลาสีทองๆสลานนาฟามร์ก็ในนี้<br>หุหุหุ,,neutral
I miss that noise 😢😢,I miss that noise,neutral
เอ็มโอ่มีสเปนกระทิงดุ,,neutral
"The champion showed how the car was driven.<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",The champion showed how the car was driven,neutral
£ร้านเฟอร์รารี่เครื่องปรุงอาหาร<br>ป้อ<br>เอ็มโอ่,,neutral
กล่องใส่ผลิตผล🍇🍈🍏🍋🍋🍍🍓🥔🍆🥥🍎🥝🍆🥔🧅,,neutral
"Non si può non amare una città così bella come Palermo. E&#39; davvero uno splendore per gli occhi la bellezza di questo spot e di una Città ricca di colori, sapori, arte e cultura come poche al mondo.",Non si pu non amare una citt cos bella come Palermo E39 davvero uno splendore per gli occhi la bellezza di questo spot e di una Citt ricca di colori sapori arte e cultura come poche al mondo,neutral
This was so artistically done. I love how the race car was spinning as the rose petals fell.🌹🌹🌹🏎🏎🏎🔥🔥🔥,This was so artistically done I love how the race car was spinning as the rose petals fell,positive
Povero jaki non può dormire in pace.,Povero jaki non pu dormire in pace,neutral
"Bellissimo spot, ma purtroppo non era Max alla guida 😢",Bellissimo spot ma purtroppo non era Max alla guida,neutral
Semplicemente magnifico.  Grazie Redbull,Semplicemente magnifico  Grazie Redbull,neutral
เสื้อแดงคนแก่ในกาซูใส่แว่นต๋า,,neutral
เช็คนมแบบวินล่า<br>เสียงแตรบนเรือ2,2,neutral
ชลีลา<br>น้าหมั๋ยแสงสุก..<br>น้องมุ่ยชลีลา,,neutral
ไอ่แม๊คจะเอาตำแหน่งจำหน่ายและจำหน่ายและจำหน่ายและและและจำหน่ายเข้าวินก่าผีมาบ๊องเข้าวินในสนามแข่งม้าประเทศญี่ปุ่น<br>ไก่ชนขี่รถเบิ้นได้กะจะเดิมพันกับเอ็มก่อ<br>นายกิตติกวินทร์แสงสุก,,neutral
โช๊คอี๊ฟคายาบ๊า,,neutral
ไอ่หว่างขาพี่หวางขาไอ่แม๊คจะเป็นผู้ค้า....,,neutral
did they use real max or just stunt guy ?,did they use real max or just stunt guy,positive
น้องตู่ใครทำอะไรอายทำเพื่อ<br>เข้าคุกขี้ไก่แบบเด็จขาดก๋า<br>นายกิตติกวินทร์แสงสุก,,neutral
"nice, so nice!!!!!!!",nice so nice,positive
ใครขายปลากาดหอมแดงสันป่าตอง,,neutral
หลวงทาอากิร่านะก่า<br>แมวกะมีหน้าบ้าน<br>รถวิบากล้วน,,neutral
chrito city💞,chrito city,neutral
Jakidale,Jakidale,neutral
I was there..in another moment..watching a celebration from a balcony...,I was therein another momentwatching a celebration from a balcony,neutral
เจ้าหมอก,,neutral
ต้นปามร์น้ำมันกาดหอมแดงสันป่าฮัก,,neutral
ที่แต่งงาน,,neutral
คุณหมอก,,neutral
Jakidale come pescaglioio troppo bello,Jakidale come pescaglioio troppo bello,neutral
How can I work for oracle? And redbull? Please,How can I work for oracle And redbull Please,neutral
❤️❤️❤️,,neutral
สีรถแบบธรรมชาติพริกหยวก<br>มินตราเจ้าน่าน,,neutral
Palermo non è cosa nostra... Palermo è casa nostra,Palermo non  cosa nostra Palermo  casa nostra,neutral
damn! the production🔥,damn the production,neutral
"Alle prossime elezioni non regalatela ai mafiosi, ve ne prego",Alle prossime elezioni non regalatela ai mafiosi ve ne prego,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=183"">3:03</a> @jakidale JAKI?",303 jakidale JAKI,neutral
Madrid plis !!!👌🙏🙏🙏🙏,Madrid plis,neutral
"I&#39;m italian, and this is not how Italy looks like.<br>These are stereotypes summarized.<br>The music, the people, the dresses... not the reality.<br>The market is similar to the reality, but not the rest.<br>Don&#39;t expect Italy to be a quiet and harmonious place, beacuse it isn&#39;t.<br>There will always be background hum, screams, annoying noises ...<br>Ordinary people don&#39;t dress well, only a few are elegant.<br>Food: some restaurants suck.<br>However, it is true, we are the land of engines. We have the famous &#39;motor valley&#39; where I live. Visit this area rather!",I39m italian and this is not how Italy looks likeThese are stereotypes summarizedThe music the people the dresses not the realityThe market is similar to the reality but not the restDon39t expect Italy to be a quiet and harmonious place beacuse it isn39tThere will always be background hum screams annoying noises Ordinary people don39t dress well only a few are elegantFood some restaurants suckHowever it is true we are the land of engines We have the famous 39motor valley39 where I live Visit this area rather,positive
Wow..,Wow,positive
ㄷㄷ,,neutral
I challenge to do this on Indian roads🤣,I challenge to do this on Indian roads,neutral
Work put on this is mind blowing. Story line was bad could have been better but graphics and the quality is another level.,Work put on this is mind blowing Story line was bad could have been better but graphics and the quality is another level,negative
กาดสเปน,,neutral
"Orgoglioso della mia città &lt;3 <br>Lo vedo spesso e mi emoziona sempre, da appassionato di F1 tutto ciò è meraviglioso.",Orgoglioso della mia citt lt3 Lo vedo spesso e mi emoziona sempre da appassionato di F1 tutto ci  meraviglioso,neutral
i love this content,i love this content,positive
🔥🔥🔥💪💪💪🏆👍👍👍🔥🙏,,neutral
Chi viene qui dal video di jaki?,Chi viene qui dal video di jaki,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=29"">0:29</a> is that Timothee Chalamet?????",029 is that Timothee Chalamet,neutral
Pov: Stai cercando il commento di Jakidale,Pov Stai cercando il commento di Jakidale,neutral
Wahnsinn. Was für eine schöne Stadt!,Wahnsinn Was fr eine schne Stadt,neutral
"Video eccezionale, città meravigliosa",Video eccezionale citt meravigliosa,neutral
Grandi bel spot e una delle chicche è che ci avete messo anche jakidale,Grandi bel spot e una delle chicche  che ci avete messo anche jakidale,neutral
La Sicilia è una terra che si adatta a tutto. Qui tutto è possibile. Dobbiamo crederci. Solo che spesso siamo noi siciliani a non crederci. Viva la Sicilia!,La Sicilia  una terra che si adatta a tutto Qui tutto  possibile Dobbiamo crederci Solo che spesso siamo noi siciliani a non crederci Viva la Sicilia,neutral
C&#39;è Jakidale!!!,C39 Jakidale,neutral
Grande Red Bull...<br>Best team in F1,Grande Red BullBest team in F1,neutral
😍😍😍🌹🌹🌹🌹🌹🌹🌹🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️,,neutral
do a rock n roll on indian road and not on ordinary roads,do a rock n roll on indian road and not on ordinary roads,negative
Jaki 😂😂😂,Jaki,neutral
Like this 1 very much  but they&#39;re all good,Like this 1 very much  but they39re all good,positive
that is actually amazing!,that is actually amazing,positive
Stupendo! Avrebbe dovuto farla la Ferrari una cosa del genere! Grande Max!,Stupendo Avrebbe dovuto farla la Ferrari una cosa del genere Grande Max,neutral
ALSO IS GOACHIN KRIANGKING BangkokoK KakakadkoK,ALSO IS GOACHIN KRIANGKING BangkokoK KakakadkoK,neutral
❤,,neutral
I wish there will be a video for Japan. The driver will be Yuki Tsunoda and not Max (Congrats to Max for winning last year.) I hope Yuki does the same thing but for his hometown.,I wish there will be a video for Japan The driver will be Yuki Tsunoda and not Max Congrats to Max for winning last year I hope Yuki does the same thing but for his hometown,positive
"Da palermitano, mi emoziono a vedere queste immagini della mia bella città!",Da palermitano mi emoziono a vedere queste immagini della mia bella citt,neutral
"Two of my favorite things coming together. F1 cars and driving around Palermo. Hahaha I&#39;d love to see Max get a chance to weave through the real traffic in Palermo. Typically it is a lot more like a crowded rally car race than a clear F1 track. Or if Red Bull Racing is interested, I&#39;d certainly borrow a rally car and a camera. Film the real deal from Mondello and up to the top of Monte Pellegrino That&#39;d be a frickin dream come true! Let&#39;s make it happen ;)",Two of my favorite things coming together F1 cars and driving around Palermo Hahaha I39d love to see Max get a chance to weave through the real traffic in Palermo Typically it is a lot more like a crowded rally car race than a clear F1 track Or if Red Bull Racing is interested I39d certainly borrow a rally car and a camera Film the real deal from Mondello and up to the top of Monte Pellegrino That39d be a frickin dream come true Let39s make it happen,positive
"Dear RED BULL Racing Honda,<br>loved the Road Trip series, but I think its time we get another one... <br>can we get one in JAPAN with the white livery to pay homage to Honda?",Dear RED BULL Racing Hondaloved the Road Trip series but I think its time we get another one can we get one in JAPAN with the white livery to pay homage to Honda,neutral
"Really amazing, thank&#39;s so much 💜💜💜",Really amazing thank39s so much,positive
You guys are crazy! Lol,You guys are crazy Lol,positive
Name of the song??????????,Name of the song,neutral
"Ed ecco sono di nuovo qui. Grande Max, auguri per la vittoria!!!",Ed ecco sono di nuovo qui Grande Max auguri per la vittoria,neutral
"So basically it&#39;s true what they say, if you&#39;re able to drive in Palermo, despite the horrible and messy traffic, you&#39;re entitled to be F1 World Champion...",So basically it39s true what they say if you39re able to drive in Palermo despite the horrible and messy traffic you39re entitled to be F1 World Champion,negative
"Big Max, Palermo has brought you luck, I&#39;m happy 👍👍",Big Max Palermo has brought you luck I39m happy,positive
"Verstappen champion, strength Red Bull and strength Palermo",Verstappen champion strength Red Bull and strength Palermo,neutral
Palermo cheers on Red bull ... Verstappen world champion in F1. 2021....!!,Palermo cheers on Red bull  Verstappen world champion in F1 2021,neutral
"Palermo brought you luck, next year you have to reapeat it!",Palermo brought you luck next year you have to reapeat it,neutral
La grande bellezza. Spot spettacolare🔥,La grande bellezza Spot spettacolare,neutral
Nice But italy is ferrari 👌,Nice But italy is ferrari,positive
😅.,,neutral
peccato mancavano Murry e Giampy,peccato mancavano Murry e Giampy,neutral
"Palermo è unica, bellissima!",Palermo  unica bellissima,neutral
So much fun! And a great look at Palmero,So much fun And a great look at Palmero,positive
GRANDE JAKI !!!💪🙂,GRANDE JAKI,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=185"">3:05</a> jakidale",305 jakidale,neutral
มีKIRI,KIRI,neutral
I Love You Palermo ❤️❤️❤️<br>Sicily in my heart 💘🇮🇹,I Love You Palermo Sicily in my heart,positive
"Beautiful video in my city ❤️, congratulations, you were very good",Beautiful video in my city  congratulations you were very good,positive
....diciamo che &quot;la Favorita&quot; non è famosa per lo yoga...,diciamo che quotla Favoritaquot non  famosa per lo yoga,neutral
Chi è venuto solo per jaki?,Chi  venuto solo per jaki,neutral
Jaki Dale 🔝,Jaki Dale,neutral
The scene with @Jakidale is Top,The scene with Jakidale is Top,positive
Chi qua dopo il video di jakidale?,Chi qua dopo il video di jakidale,neutral
lo so che sei qui dal video di jaki,lo so che sei qui dal video di jaki,neutral
Hahhaha jakidale,Hahhaha jakidale,neutral
Jakyyyy,Jakyyyy,neutral
Che bella l&#39;Italia,Che bella l39Italia,neutral
pov: sei qui solo per vedere la scena di jakidale,pov sei qui solo per vedere la scena di jakidale,neutral
Jakiii,Jakiii,neutral
Chi qui dopo il video di jaky??,Chi qui dopo il video di jaky,neutral
Bravi e bella la scena con Jackidale,Bravi e bella la scena con Jackidale,neutral
Chi qui dopo aver visto il video di Jakidale??,Chi qui dopo aver visto il video di Jakidale,neutral
in quanti qui per Jaki ?,in quanti qui per Jaki,neutral
Chi qui solo per jakidale?,Chi qui solo per jakidale,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=190"">3:10</a> .. Jakidale!!!",310  Jakidale,neutral
grande jaki,grande jaki,neutral
@jakidale,jakidale,neutral
Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo. Grazie di tutto spero ti sia divertito. 🥇🏆,Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo Grazie di tutto spero ti sia divertito,neutral
Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo. Grazie di tutto spero ti sia divertito. 🥇🏆,Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo Grazie di tutto spero ti sia divertito,neutral
😉👍,,neutral
Che maraviglia. Palermo è splendida come tutta la Sicilia...Video bellissimissimo,Che maraviglia Palermo  splendida come tutta la SiciliaVideo bellissimissimo,neutral
Beautiful,Beautiful,positive
viva palermo,viva palermo,neutral
H<br>Great film to see my Sicily with Max,HGreat film to see my Sicily with Max,neutral
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,,neutral
for verstappen Ferrari= mafia for me you&#39;re not welcome,for verstappen Ferrari mafia for me you39re not welcome,negative
"Дааа, жаль, что наша страна не может таким похвастаться, начиная с дорог, курортами, красивыми улицами и домами и главное гонщиками F1.",F1,neutral
I really enjoy this when Christian Horner is calling Max Verstappen on a road trip around the Italian grand prix thank you for all brilliant video for fan of F1.,I really enjoy this when Christian Horner is calling Max Verstappen on a road trip around the Italian grand prix thank you for all brilliant video for fan of F1,positive
Really cool you have to do this in Germany cologne would we nice,Really cool you have to do this in Germany cologne would we nice,positive
Palermo was true right filming it. Well done! Red Bull: clever team👏,Palermo was true right filming it Well done Red Bull clever team,positive
Wow amazing!!!,Wow amazing,positive
"andate a vedere l immondizia che c&#39;è a Palermo.......dovrebbero arrestare tutta la classe politica per vilipendio a una città bellissima che stanno distruggendo.....e anche qualche cittadino dovrebbe amare di più la propria città che è uno splendore dall&#39;inizio dei tempi......comunque grazie Red Bull perché hai scelto una città bellissima per il tuo spot, peccato però per tutto quello che noi italiani per primi siamo capaci di trascurare...per primi sì...proprio in pole position!",andate a vedere l immondizia che c39 a Palermodovrebbero arrestare tutta la classe politica per vilipendio a una citt bellissima che stanno distruggendoe anche qualche cittadino dovrebbe amare di pi la propria citt che  uno splendore dall39inizio dei tempicomunque grazie Red Bull perch hai scelto una citt bellissima per il tuo spot peccato per per tutto quello che noi italiani per primi siamo capaci di trascurareper primi sproprio in pole position,neutral
"Sto ancora chiedendomi ( a parte lo stupro delle strade) quale messaggio la red bull voglia trasmettere ai palermitani, agli Italiani al mondo intero. Qualcuno l&#39;ha capito?",Sto ancora chiedendomi  a parte lo stupro delle strade quale messaggio la red bull voglia trasmettere ai palermitani agli Italiani al mondo intero Qualcuno l39ha capito,neutral
"Buongiorno, video meraviglioso!rombo favoloso,città inimitabilmente bella! Red bull, compra il Palermo calcio , portaci in Champions League!",Buongiorno video meravigliosorombo favolosocitt inimitabilmente bella Red bull compra il Palermo calcio  portaci in Champions League,neutral
Straordinario spot ❤️,Straordinario spot,neutral
Beautiful ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥☺️,Beautiful,positive
"Mi sono venuti i brividi...dalle stesse strade percorse spesso e volentieri, al calore che sprigiona la MIA città!!!",Mi sono venuti i brivididalle stesse strade percorse spesso e volentieri al calore che sprigiona la MIA citt,neutral
"Questo spot non dovrebbe andare su youtube ,è pornografia....",Questo spot non dovrebbe andare su youtube  pornografia,neutral
Palermo itz magic 😘😘,Palermo itz magic,positive
bellissimoooooooooo,bellissimoooooooooo,neutral
Mi dispiace che non abbia fatto il video la Ferrari Palermo è una bellissima città,Mi dispiace che non abbia fatto il video la Ferrari Palermo  una bellissima citt,neutral
Anazing!,Anazing,neutral
All this video for Max landing on top of Lulu LMAO,All this video for Max landing on top of Lulu LMAO,positive
Who doesn&#39;t know Palermo and watches this video <b>Mr. Incredible&#39;s colorized face</b><br><br>Who really lives in Palermo and watches this video <b>Mr. Incredible&#39;s grey face</b>,Who doesn39t know Palermo and watches this video Mr Incredible39s colorized faceWho really lives in Palermo and watches this video Mr Incredible39s grey face,positive
commuovente,commuovente,neutral
Looks kinda CG for most of this,Looks kinda CG for most of this,positive
"MERAVIGLIOSO!!!Bravi e complimenti...Palermo sempre meravigliosa ma vista così lo è di più. Solo che secondo me Max Verstappen a Palermo neanche c&#39;è passato, chissà chi guidava quella macchina!!!ahahah....complimenti....",MERAVIGLIOSOBravi e complimentiPalermo sempre meravigliosa ma vista cos lo  di pi Solo che secondo me Max Verstappen a Palermo neanche c39 passato chiss chi guidava quella macchinaahahahcomplimenti,neutral
Viva Palermo...🌈💙♥️⭐💫👑,Viva Palermo,neutral
What song is playing?,What song is playing,neutral
qualcuno è riuscito a riconoscere la musica sotto al video? mi interesserebbe molto :(,qualcuno  riuscito a riconoscere la musica sotto al video mi interesserebbe molto,neutral
Che figata Palermo! Mi e’ venuta la pelle d’oca ! Da emozioni!,Che figata Palermo Mi e venuta la pelle doca  Da emozioni,neutral
Devo essere sincero : mi sono commosso... non so esattamente perchè...,Devo essere sincero  mi sono commosso non so esattamente perch,neutral
"Vendor crosses the road - <br>Max: &quot;I&#39;m not going to say it...&quot; <br>GP: &quot;What&#39;s wrong?&quot; <br>Max: &quot;No, I&#39;m not going to say it, people are <b>*****</b> blind!&quot;",Vendor crosses the road  Max quotI39m not going to say itquot GP quotWhat39s wrongquot Max quotNo I39m not going to say it people are  blindquot,neutral
"Cavoli, dove l&#39;avete nascosta l&#39;immondizia?🤦🏻‍♂️😁👍🏻",Cavoli dove l39avete nascosta l39immondizia,neutral
"Incredibile video...fantastico,  le vie di Palermo..gli edifici...mondello<br>Troppo bello !!!!<br>Una scheda turistica perfetta.<br>Thank you red bull ✅👍✅",Incredibile videofantastico  le vie di Palermogli edificimondelloTroppo bello Una scheda turistica perfettaThank you red bull,neutral
the best spot ever see...and Mondello beach and Palermo city center are just amazing🇮🇹🔥🔥🔥 i hope can see in future a car competion like Monaco GP but in Palermo of course😊,the best spot ever seeand Mondello beach and Palermo city center are just amazing i hope can see in future a car competion like Monaco GP but in Palermo of course,positive
"A nome di tutta Palermo, Sicilia e Italia... G R A Z I E ❤️<br>Thank you RedBull",A nome di tutta Palermo Sicilia e Italia G R A Z I E Thank you RedBull,neutral
Avete messo in crisi un&#39;intera città per girare queste scene!!! Cittadini infuriati perché bloccati nelle loro attività!! Ma adesso vedo le scene che avete girato e.... il cuore trabocca per la bellezza infinita di questa città che voi avete esaltato!!!! Grazie!,Avete messo in crisi un39intera citt per girare queste scene Cittadini infuriati perch bloccati nelle loro attivit Ma adesso vedo le scene che avete girato e il cuore trabocca per la bellezza infinita di questa citt che voi avete esaltato Grazie,neutral
Crashstappen!!!,Crashstappen,neutral
"Spettacolare... Bravi tutti: i produttori, la scuderia, Max, macchinisti, attori etc. Un capolavoro.",Spettacolare Bravi tutti i produttori la scuderia Max macchinisti attori etc Un capolavoro,neutral
Video fantastico! Complimenti a Red Bull e a Max..  Rendete onore a una città bellissima come Palemo. Una palermitana orgogliosa di esserlo.,Video fantastico Complimenti a Red Bull e a Max  Rendete onore a una citt bellissima come Palemo Una palermitana orgogliosa di esserlo,neutral
Ma la Ztl l’avrà pagata ?,Ma la Ztl lavr pagata,neutral
Fantastico !!🇮🇹🇮🇹🇮🇹,Fantastico,neutral
Max:think i will also shoot in monza. box: on a mercedes?,Maxthink i will also shoot in monza box on a mercedes,neutral
Un bellissimo spot per Palermo e per la Sicilia. Davvero Emozionante!! Complimenti a Red Bull che ha dato tanta visibilità alla straordinaria bellezza del nostro capoluogo,Un bellissimo spot per Palermo e per la Sicilia Davvero Emozionante Complimenti a Red Bull che ha dato tanta visibilit alla straordinaria bellezza del nostro capoluogo,neutral
I&#39;ve watched this over and over and over again. When Max doughnuts around Quattro Canti Square. Can you get as smooth as this?,I39ve watched this over and over and over again When Max doughnuts around Quattro Canti Square Can you get as smooth as this,positive
"Actually, i don&#39;t like sound edit.",Actually i don39t like sound edit,positive
So great ! And thumbs up to the drone pilot(s) !,So great  And thumbs up to the drone pilots,positive
"Next time i want to see you in Catania,if it is possibile.Thanks",Next time i want to see you in Cataniaif it is possibileThanks,neutral
Avete dimenticato di invitare la Mafia,Avete dimenticato di invitare la Mafia,neutral
Wow 🤩,Wow,positive
