author,comment,published_at
@Tyra-rc9tx,Echante mon ami,2024-03-29T18:25:24Z
@user-iy5rj6gm9v,❤🎉,2024-03-26T07:03:02Z
@srinath6247,Gotta be one of the best commercials ever filmed.,2024-03-18T07:42:05Z
@nithiyajayamanikandan4185,Max would drive a F1 car as a daily driver if it was road legal,2024-03-17T11:16:23Z
@melhoresmomentos-nd5vp,vai ser multado por excesso de velocidade,2024-03-13T12:40:56Z
@DylanoVanGogh,Solo ora mi sono accorto che c’era uno che assomigliava a @jakidale,2024-03-02T12:51:10Z
@prakyathacharya303,Max 😍😍😍,2024-02-27T09:32:48Z
@josefcihak6823,"Beautiful, but from castle to castle is the best.",2024-02-12T15:24:56Z
@ThomasOlivarez-mp6vx,😊😊😊 que bueno que están bien me alegro mucho chery valdes,2024-01-30T21:14:07Z
@kunsanyi9057,🫶 RedBull 🫶,2024-01-04T00:16:58Z
@tommasovacca6192,"Il regalo più grande era prima di levare le buche e la spazzatura e poi fare vedere la vera palermo, no il fuori, le strade di palermo e per fortuna la circondano quindi il sindaco Orlando sapere che li c&#39;erano buche e spazzatura quindi per lui era meglio come per la red bull fare vedere solo il necessario, come alla favorita, come all centro e nelle periferia, e poi quelli che sono nell video ,come quello dei limoni il caretto e tanto altro nn sono i veri venditori  ,cioè per nn pagare i veri proprietari si sono portati i loro attori cioe capito la falsità che anno e che riescono a far credere alla gente, e giustamente la gente nn sa nulla ,",2023-12-21T15:11:36Z
@brendazuloagaperez,Buenos días Max veretappe 🇫🇷,2023-12-17T17:52:28Z
@snagireddy3283,Proud to drive a Honda 😎,2023-12-10T01:21:07Z
@salvatorearnao8707,❤❤❤❤❤❤❤🇮🇲🇮🇹,2023-11-07T09:26:18Z
@jenoolah9465,Fraud gang. They&#39;ve been cheating for three years.<br><br>￼,2023-11-04T07:10:18Z
@gaetano8460,"This Is the real Palermo, the real Sicily❤",2023-10-19T15:56:07Z
@airwavesfromholland,Bunch of nutters. the best one ever.,2023-10-16T23:32:01Z
@sarinaburke1803,Love watching this,2023-10-10T07:53:54Z
@donquijote7463,I LOVE THAT DIESEL ENGINE SOUND.,2023-10-07T09:54:54Z
@rubenlara4437,El trampitas de max,2023-09-14T13:14:32Z
@andoraaaa,we expect this from redbull! keep entertaining guys,2023-09-02T10:44:12Z
@user-vk3dv3mi6h,why RB uses the car from 2013 instead of current F1 car,2023-08-28T12:06:22Z
@volo870,The racing lines are awful!,2023-08-20T15:47:57Z
@ninnipiacentino5712,My home ❤️‍🔥❤️‍🔥❤️‍🔥,2023-08-10T11:00:55Z
@santirichiusa9354,"Ho visto e rivisto questo spot decine di volte. Eppure ogni volta che lo guardo ho sempre un nodo alla gola per l&#39;emozione che provo di fronte a tanta bellezza. Grazie a Red Bull per aver esaltato al massimo come solo loro sanno fare, ciò che di bello c&#39;è e che noi palermitani possiamo assaporare ogni giorno. Grande Palermo sei un patrimonio da conservare per sempre",2023-08-07T15:34:20Z
@davezand,The marketing is on another level. Really had fun wachting this!! 🔥🔥🔥🔥,2023-07-19T00:58:17Z
@aldoditommaso9505,"As an Italian supporter of Red Bull Racing, this video is pure art cinematography. I love it.",2023-07-16T06:31:55Z
@Mf1-,Please coming Reggio Calabria,2023-06-15T07:37:48Z
@manuelenriquevillegasrodri3435,Tercia de ases 😊,2023-06-11T02:39:57Z
@user-er7pu6wz2r,ดอก⭐แท้ถ้าปลอมก็ทางใครทางมันจบแบบไม่มีร้านค้า,2023-05-31T15:39:05Z
@user-er7pu6wz2r,วางร้านค้าทั่วโลกสำเร็จหรือปล่าวบันชีเอ็มโอ่นายกิตติกวินทร์แสงสุกมีเดิมพันเจ้าของกระทิงแดงเรดบลูแท้<br>ธนาคารโลก,2023-05-31T15:38:06Z
@mimmopuccio7443,Magnifica palermo! I brividii ❤❤,2023-05-26T20:18:53Z
@Boozmaan,Geil gemacht,2023-05-20T08:54:27Z
@gloriae9717,Awesome video. Great job Max👍🏻🇺🇸🦁,2023-05-16T04:38:49Z
@MantasRudzevicius-ch7nj,"🙏<a href=""http://www.youtube.com/results?search_query=%23amen"">#Amen</a>💘🕯️. cosa👾nostra",2023-05-14T20:03:31Z
@user-er7pu6wz2r,น้อยแดงหมิ่น,2023-04-25T03:12:33Z
@fabiopetrola5552,Che bella palermo,2023-04-22T20:49:36Z
@heinrichghost9145,Max Verstappen habla muy elegante el inglés ahora como hablara el holandes,2023-04-20T06:03:00Z
@federicounniemi9924,Ma quanto ti amo palermo,2023-04-15T22:52:41Z
@user-er7pu6wz2r,พอดีเป็นโฆษณาเอ็มโอ่ใครจะว่าวัวควายก็ที่นี่อะไร,2023-04-14T13:44:00Z
@concettacorradino2660,"Palermo! ❤️ la mia città, dove sono cresciuta ❤️😍💖 &quot;Casa&quot;! <br>Poche sono le città al mondo che possono vantare i suoi primati, il suo calore, il suo fascino e la sua bellezza! 💐☀️🥰",2023-04-11T12:57:42Z
@user-er7pu6wz2r,เรียกว่าเสียงแตร์เรือเหรอ,2023-04-03T15:04:24Z
@user-er7pu6wz2r,อ่าวแล้วบ้านหลวงพ่อเสือดำมาอยู่ทำไมหน้ารร.ส่วนบุญรัฐราชชูภูมิภาค<br>เอ็มโอ่,2023-04-03T13:09:42Z
@user-er7pu6wz2r,ปลาสีทองๆสลานนาฟามร์ก็ในนี้<br>หุหุหุ,2023-04-03T13:07:24Z
@GabbaHeadDeathchantRecords,I miss that noise 😢😢,2023-03-28T08:57:20Z
@user-er7pu6wz2r,เอ็มโอ่มีสเปนกระทิงดุ,2023-03-26T07:10:59Z
@gungorgun4430,"The champion showed how the car was driven.<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",2023-03-15T05:08:18Z
@user-er7pu6wz2r,£ร้านเฟอร์รารี่เครื่องปรุงอาหาร<br>ป้อ<br>เอ็มโอ่,2023-03-08T15:14:02Z
@user-er7pu6wz2r,กล่องใส่ผลิตผล🍇🍈🍏🍋🍋🍍🍓🥔🍆🥥🍎🥝🍆🥔🧅,2023-03-05T12:11:02Z
@ThePitForever,"Non si può non amare una città così bella come Palermo. E&#39; davvero uno splendore per gli occhi la bellezza di questo spot e di una Città ricca di colori, sapori, arte e cultura come poche al mondo.",2023-02-20T20:07:57Z
@cheunglab,This was so artistically done. I love how the race car was spinning as the rose petals fell.🌹🌹🌹🏎🏎🏎🔥🔥🔥,2023-02-17T00:51:46Z
@Adib-110,Povero jaki non può dormire in pace.,2022-12-13T18:32:39Z
@massimosalzarulo5832,"Bellissimo spot, ma purtroppo non era Max alla guida 😢",2022-12-12T23:43:45Z
@silviobrunetti79,Semplicemente magnifico.  Grazie Redbull,2022-11-07T17:09:02Z
@user-st4wr7ve8j,เสื้อแดงคนแก่ในกาซูใส่แว่นต๋า,2022-10-17T07:14:53Z
@user-st4wr7ve8j,เช็คนมแบบวินล่า<br>เสียงแตรบนเรือ2,2022-10-17T05:55:35Z
@user-st4wr7ve8j,ชลีลา<br>น้าหมั๋ยแสงสุก..<br>น้องมุ่ยชลีลา,2022-10-17T05:53:42Z
@user-st4wr7ve8j,ไอ่แม๊คจะเอาตำแหน่งจำหน่ายและจำหน่ายและจำหน่ายและและและจำหน่ายเข้าวินก่าผีมาบ๊องเข้าวินในสนามแข่งม้าประเทศญี่ปุ่น<br>ไก่ชนขี่รถเบิ้นได้กะจะเดิมพันกับเอ็มก่อ<br>นายกิตติกวินทร์แสงสุก,2022-10-17T05:49:09Z
@user-st4wr7ve8j,โช๊คอี๊ฟคายาบ๊า,2022-10-17T05:45:31Z
@user-st4wr7ve8j,ไอ่หว่างขาพี่หวางขาไอ่แม๊คจะเป็นผู้ค้า....,2022-10-17T05:44:58Z
@gemaxpamungkas,did they use real max or just stunt guy ?,2022-10-10T17:56:58Z
@user-st4wr7ve8j,น้องตู่ใครทำอะไรอายทำเพื่อ<br>เข้าคุกขี้ไก่แบบเด็จขาดก๋า<br>นายกิตติกวินทร์แสงสุก,2022-09-23T09:56:50Z
@twait1672,"nice, so nice!!!!!!!",2022-09-21T18:47:14Z
@user-st4wr7ve8j,ใครขายปลากาดหอมแดงสันป่าตอง,2022-09-10T04:29:26Z
@user-st4wr7ve8j,หลวงทาอากิร่านะก่า<br>แมวกะมีหน้าบ้าน<br>รถวิบากล้วน,2022-08-09T14:01:04Z
@raflestomson1170,chrito city💞,2022-08-08T15:56:03Z
@GABRIELE.MAESTRONI2006,Jakidale,2022-08-07T11:20:49Z
@hanahclaudia,I was there..in another moment..watching a celebration from a balcony...,2022-08-05T11:35:35Z
@user-st4wr7ve8j,เจ้าหมอก,2022-07-30T07:53:36Z
@user-st4wr7ve8j,ต้นปามร์น้ำมันกาดหอมแดงสันป่าฮัก,2022-07-21T13:15:03Z
@user-st4wr7ve8j,ที่แต่งงาน,2022-07-21T13:13:48Z
@user-st4wr7ve8j,คุณหมอก,2022-07-21T13:13:23Z
@TIGER-pj9ou,Jakidale come pescaglioio troppo bello,2022-07-02T11:39:04Z
@Countryhack01,How can I work for oracle? And redbull? Please,2022-06-28T11:55:29Z
@Countryhack01,❤️❤️❤️,2022-06-28T11:54:30Z
@user-st4wr7ve8j,สีรถแบบธรรมชาติพริกหยวก<br>มินตราเจ้าน่าน,2022-06-27T13:09:04Z
@alfioingrassia,Palermo non è cosa nostra... Palermo è casa nostra,2022-06-24T15:30:36Z
@kitipatsurmkiettiwat1783,damn! the production🔥,2022-06-22T09:26:54Z
@bartolomeoguercio1256,"Alle prossime elezioni non regalatela ai mafiosi, ve ne prego",2022-06-11T09:48:36Z
@davvvC_..R,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=183"">3:03</a> @jakidale JAKI?",2022-06-06T13:07:24Z
@garci077,Madrid plis !!!👌🙏🙏🙏🙏,2022-05-30T17:25:43Z
@Lama-it6rk,"I&#39;m italian, and this is not how Italy looks like.<br>These are stereotypes summarized.<br>The music, the people, the dresses... not the reality.<br>The market is similar to the reality, but not the rest.<br>Don&#39;t expect Italy to be a quiet and harmonious place, beacuse it isn&#39;t.<br>There will always be background hum, screams, annoying noises ...<br>Ordinary people don&#39;t dress well, only a few are elegant.<br>Food: some restaurants suck.<br>However, it is true, we are the land of engines. We have the famous &#39;motor valley&#39; where I live. Visit this area rather!",2022-05-24T13:20:11Z
@Bond-rr9gy,Wow..,2022-05-14T06:14:05Z
@overvieweffect,ㄷㄷ,2022-05-10T12:44:10Z
@wthxrsh,I challenge to do this on Indian roads🤣,2022-05-07T16:12:31Z
@prashant41191,Work put on this is mind blowing. Story line was bad could have been better but graphics and the quality is another level.,2022-05-02T23:43:09Z
@user-st4wr7ve8j,กาดสเปน,2022-04-29T21:16:59Z
@GiovanniBartoloDJ,"Orgoglioso della mia città &lt;3 <br>Lo vedo spesso e mi emoziona sempre, da appassionato di F1 tutto ciò è meraviglioso.",2022-04-29T20:59:00Z
@leaa6422,i love this content,2022-04-26T02:39:11Z
@nefiid1740,🔥🔥🔥💪💪💪🏆👍👍👍🔥🙏,2022-04-20T11:02:17Z
@FrankLambert2005,Chi viene qui dal video di jaki?,2022-04-17T12:18:17Z
@aryamukherjee434,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=29"">0:29</a> is that Timothee Chalamet?????",2022-04-14T15:21:35Z
@Nick_2809,Pov: Stai cercando il commento di Jakidale,2022-04-14T08:04:01Z
@MatthaeusF,Wahnsinn. Was für eine schöne Stadt!,2022-04-09T08:33:25Z
@andrealamantia5985,"Video eccezionale, città meravigliosa",2022-04-08T22:12:17Z
@ghostfaceeentrato1321,Grandi bel spot e una delle chicche è che ci avete messo anche jakidale,2022-04-04T08:36:11Z
@RubricaSicilia,La Sicilia è una terra che si adatta a tutto. Qui tutto è possibile. Dobbiamo crederci. Solo che spesso siamo noi siciliani a non crederci. Viva la Sicilia!,2022-03-29T13:05:05Z
@nicolodaniele8755,C&#39;è Jakidale!!!,2022-03-27T19:43:31Z
@anthonyscali.a6088,Grande Red Bull...<br>Best team in F1,2022-03-17T03:51:33Z
@dinarlanpandawa4274,😍😍😍🌹🌹🌹🌹🌹🌹🌹🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️🏎️,2022-03-03T02:22:04Z
@subhashreemohanty572,do a rock n roll on indian road and not on ordinary roads,2022-02-26T16:42:52Z
@a.d.e_official7008,Jaki 😂😂😂,2022-02-09T15:41:51Z
@Marber656,Like this 1 very much  but they&#39;re all good,2022-01-31T14:41:23Z
@andolas100,that is actually amazing!,2022-01-28T14:49:23Z
@orizzontilametini8891,Stupendo! Avrebbe dovuto farla la Ferrari una cosa del genere! Grande Max!,2022-01-28T13:18:20Z
@goachingoulding3926,ALSO IS GOACHIN KRIANGKING BangkokoK KakakadkoK,2022-01-28T05:51:13Z
@federicotirri9876,❤,2022-01-16T00:04:48Z
@harl3yquinn320,I wish there will be a video for Japan. The driver will be Yuki Tsunoda and not Max (Congrats to Max for winning last year.) I hope Yuki does the same thing but for his hometown.,2022-01-12T01:52:03Z
@maxspeedy,"Da palermitano, mi emoziono a vedere queste immagini della mia bella città!",2022-01-07T14:06:23Z
@lucasjohnson8901,"Two of my favorite things coming together. F1 cars and driving around Palermo. Hahaha I&#39;d love to see Max get a chance to weave through the real traffic in Palermo. Typically it is a lot more like a crowded rally car race than a clear F1 track. Or if Red Bull Racing is interested, I&#39;d certainly borrow a rally car and a camera. Film the real deal from Mondello and up to the top of Monte Pellegrino That&#39;d be a frickin dream come true! Let&#39;s make it happen ;)",2022-01-02T00:05:18Z
@JIMMY_NEMESIS,"Dear RED BULL Racing Honda,<br>loved the Road Trip series, but I think its time we get another one... <br>can we get one in JAPAN with the white livery to pay homage to Honda?",2021-12-23T11:30:27Z
@caolobannone7587,"Really amazing, thank&#39;s so much 💜💜💜",2021-12-18T15:02:08Z
@ForexRobotReviewChannel,You guys are crazy! Lol,2021-12-15T16:30:10Z
@dren4009,Name of the song??????????,2021-12-15T16:19:29Z
@southSorbet,"Ed ecco sono di nuovo qui. Grande Max, auguri per la vittoria!!!",2021-12-13T16:25:10Z
@GerlandoAlletto,"So basically it&#39;s true what they say, if you&#39;re able to drive in Palermo, despite the horrible and messy traffic, you&#39;re entitled to be F1 World Champion...",2021-12-13T13:55:10Z
@mauriziozoncu4988,"Big Max, Palermo has brought you luck, I&#39;m happy 👍👍",2021-12-13T07:50:21Z
@Giam83,"Verstappen champion, strength Red Bull and strength Palermo",2021-12-13T00:22:37Z
@Pietro-kf6wo,Palermo cheers on Red bull ... Verstappen world champion in F1. 2021....!!,2021-12-12T23:04:05Z
@pascalborrelli5370,"Palermo brought you luck, next year you have to reapeat it!",2021-12-12T21:19:07Z
@Ftcct,La grande bellezza. Spot spettacolare🔥,2021-12-11T15:40:41Z
@100898050,Nice But italy is ferrari 👌,2021-12-10T22:26:53Z
@mdiqbal8747,😅.,2021-12-02T09:44:23Z
@M477i4,peccato mancavano Murry e Giampy,2021-11-28T05:35:31Z
@enricodelia9031,"Palermo è unica, bellissima!",2021-11-26T17:52:14Z
@omarsidd2,So much fun! And a great look at Palmero,2021-11-26T07:56:30Z
@Jole-yx1xm,GRANDE JAKI !!!💪🙂,2021-11-25T19:25:14Z
@r.crista,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=185"">3:05</a> jakidale",2021-11-25T12:47:35Z
@youtobe5414,มีKIRI,2021-11-22T14:37:35Z
@jacktorrance9263,I Love You Palermo ❤️❤️❤️<br>Sicily in my heart 💘🇮🇹,2021-11-21T20:12:41Z
@Lauravarvaro.,"Beautiful video in my city ❤️, congratulations, you were very good",2021-11-20T19:29:54Z
@marconaccari5723,....diciamo che &quot;la Favorita&quot; non è famosa per lo yoga...,2021-11-20T14:55:35Z
@ChristianBuongiorno,Chi è venuto solo per jaki?,2021-11-19T14:00:56Z
@hi_imnik,Jaki Dale 🔝,2021-11-19T10:12:18Z
@DPGame08,The scene with @Jakidale is Top,2021-11-19T08:12:31Z
@mattialaratta9279,Chi qua dopo il video di jakidale?,2021-11-18T23:39:46Z
@sosa2block305,lo so che sei qui dal video di jaki,2021-11-18T22:39:56Z
@mohamedhommani1224,Hahhaha jakidale,2021-11-18T20:05:44Z
@ilsignorx9891,Jakyyyy,2021-11-18T15:41:01Z
@carlopoma6616,Che bella l&#39;Italia,2021-11-18T15:22:48Z
@_not_found_9384,pov: sei qui solo per vedere la scena di jakidale,2021-11-18T14:53:34Z
@alevphoto3366,Jakiii,2021-11-18T14:52:48Z
@crypto648,Chi qui dopo il video di jaky??,2021-11-18T14:25:22Z
@TCS_NAPOLI_TEK,Bravi e bella la scena con Jackidale,2021-11-18T14:12:17Z
@stee2642,Chi qui dopo aver visto il video di Jakidale??,2021-11-18T14:05:44Z
@raffa_hsq,in quanti qui per Jaki ?,2021-11-18T13:58:37Z
@dre189,Chi qui solo per jakidale?,2021-11-18T13:22:37Z
@danieleferrari4323,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=190"">3:10</a> .. Jakidale!!!",2021-11-18T13:22:06Z
@sebastianelia2092,grande jaki,2021-11-18T13:16:15Z
@mattiadilecce9570,@jakidale,2021-11-18T12:56:18Z
@rosariocapizzi2086,Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo. Grazie di tutto spero ti sia divertito. 🥇🏆,2021-11-18T12:50:06Z
@rosariocapizzi2086,Max spero che tu possa vincere il mondiale e un pezzettino dedicalo a Palermo. Grazie di tutto spero ti sia divertito. 🥇🏆,2021-11-18T12:49:55Z
@eduardokelderek2137,😉👍,2021-11-18T08:55:08Z
@nunziatinaisgro9879,Che maraviglia. Palermo è splendida come tutta la Sicilia...Video bellissimissimo,2021-11-18T05:53:01Z
@UbermenschOst,Beautiful,2021-11-16T13:08:10Z
@francescotorino7221,viva palermo,2021-11-01T18:48:01Z
@giohelp,H<br>Great film to see my Sicily with Max,2021-10-21T17:26:51Z
@andiwidodo3026,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2021-10-18T02:57:34Z
@povera_italia,for verstappen Ferrari= mafia for me you&#39;re not welcome,2021-10-17T19:28:54Z
@user-tf1gl3uf2r,"Дааа, жаль, что наша страна не может таким похвастаться, начиная с дорог, курортами, красивыми улицами и домами и главное гонщиками F1.",2021-10-16T16:50:25Z
@peterfowke7818,I really enjoy this when Christian Horner is calling Max Verstappen on a road trip around the Italian grand prix thank you for all brilliant video for fan of F1.,2021-10-10T15:10:40Z
@danielsteubesand8995,Really cool you have to do this in Germany cologne would we nice,2021-10-09T11:39:09Z
@danielalipari8396,Palermo was true right filming it. Well done! Red Bull: clever team👏,2021-10-09T08:45:13Z
@michelebianchi1641,Wow amazing!!!,2021-10-03T17:40:07Z
@alfredorotella6010,"andate a vedere l immondizia che c&#39;è a Palermo.......dovrebbero arrestare tutta la classe politica per vilipendio a una città bellissima che stanno distruggendo.....e anche qualche cittadino dovrebbe amare di più la propria città che è uno splendore dall&#39;inizio dei tempi......comunque grazie Red Bull perché hai scelto una città bellissima per il tuo spot, peccato però per tutto quello che noi italiani per primi siamo capaci di trascurare...per primi sì...proprio in pole position!",2021-10-02T21:05:38Z
@giuseppe3terzo,"Sto ancora chiedendomi ( a parte lo stupro delle strade) quale messaggio la red bull voglia trasmettere ai palermitani, agli Italiani al mondo intero. Qualcuno l&#39;ha capito?",2021-10-02T10:26:03Z
@zicomarcogiuseppeferrante2817,"Buongiorno, video meraviglioso!rombo favoloso,città inimitabilmente bella! Red bull, compra il Palermo calcio , portaci in Champions League!",2021-10-02T07:28:36Z
@elisamazzara4145,Straordinario spot ❤️,2021-10-02T05:15:47Z
@user-br1bp3mn5r,Beautiful ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥☺️,2021-09-30T23:45:09Z
@pippoliam9748,"Mi sono venuti i brividi...dalle stesse strade percorse spesso e volentieri, al calore che sprigiona la MIA città!!!",2021-09-30T18:44:45Z
@chaos.complessita,"Questo spot non dovrebbe andare su youtube ,è pornografia....",2021-09-30T10:07:07Z
@scintilla83rchannel13,Palermo itz magic 😘😘,2021-09-28T17:37:26Z
@091palermo8,bellissimoooooooooo,2021-09-28T14:43:28Z
@debbysalvo8547,Mi dispiace che non abbia fatto il video la Ferrari Palermo è una bellissima città,2021-09-28T13:31:05Z
@matteotempia2578,Anazing!,2021-09-27T15:05:02Z
@adityatyagi464,All this video for Max landing on top of Lulu LMAO,2021-09-26T05:15:03Z
@edgarallanpoe8045,Who doesn&#39;t know Palermo and watches this video <b>Mr. Incredible&#39;s colorized face</b><br><br>Who really lives in Palermo and watches this video <b>Mr. Incredible&#39;s grey face</b>,2021-09-25T12:23:17Z
@sarocroce6135,commuovente,2021-09-25T10:47:29Z
@frankm5150,Looks kinda CG for most of this,2021-09-24T07:15:20Z
@SuperFederiko1,"MERAVIGLIOSO!!!Bravi e complimenti...Palermo sempre meravigliosa ma vista così lo è di più. Solo che secondo me Max Verstappen a Palermo neanche c&#39;è passato, chissà chi guidava quella macchina!!!ahahah....complimenti....",2021-09-23T15:07:08Z
@samueleimpiombato5794,Viva Palermo...🌈💙♥️⭐💫👑,2021-09-23T08:45:24Z
@RacingBearsTV,What song is playing?,2021-09-22T14:49:00Z
@aliceguzzinati8475,qualcuno è riuscito a riconoscere la musica sotto al video? mi interesserebbe molto :(,2021-09-21T20:08:38Z
@tambuvicio7183,Che figata Palermo! Mi e’ venuta la pelle d’oca ! Da emozioni!,2021-09-21T13:31:17Z
@vitogarraffa4575,Devo essere sincero : mi sono commosso... non so esattamente perchè...,2021-09-21T11:51:35Z
@Phipper2011,"Vendor crosses the road - <br>Max: &quot;I&#39;m not going to say it...&quot; <br>GP: &quot;What&#39;s wrong?&quot; <br>Max: &quot;No, I&#39;m not going to say it, people are <b>*****</b> blind!&quot;",2021-09-20T16:00:44Z
@michaelbiancardi6558,"Cavoli, dove l&#39;avete nascosta l&#39;immondizia?🤦🏻‍♂️😁👍🏻",2021-09-19T07:15:16Z
@drnoanoa10,"Incredibile video...fantastico,  le vie di Palermo..gli edifici...mondello<br>Troppo bello !!!!<br>Una scheda turistica perfetta.<br>Thank you red bull ✅👍✅",2021-09-18T20:17:58Z
@hulkmarvel179,the best spot ever see...and Mondello beach and Palermo city center are just amazing🇮🇹🔥🔥🔥 i hope can see in future a car competion like Monaco GP but in Palermo of course😊,2021-09-18T13:38:25Z
@giga92,"A nome di tutta Palermo, Sicilia e Italia... G R A Z I E ❤️<br>Thank you RedBull",2021-09-18T12:40:14Z
@matipacuvio6404,Avete messo in crisi un&#39;intera città per girare queste scene!!! Cittadini infuriati perché bloccati nelle loro attività!! Ma adesso vedo le scene che avete girato e.... il cuore trabocca per la bellezza infinita di questa città che voi avete esaltato!!!! Grazie!,2021-09-18T09:27:26Z
@user-qc8yf1lu2b,Crashstappen!!!,2021-09-18T08:11:57Z
@dingoctr,"Spettacolare... Bravi tutti: i produttori, la scuderia, Max, macchinisti, attori etc. Un capolavoro.",2021-09-18T02:25:32Z
@silviatriolo9040,Video fantastico! Complimenti a Red Bull e a Max..  Rendete onore a una città bellissima come Palemo. Una palermitana orgogliosa di esserlo.,2021-09-17T17:32:37Z
@gabrielgheraescu9721,Ma la Ztl l’avrà pagata ?,2021-09-17T13:22:13Z
@mdt2688,Fantastico !!🇮🇹🇮🇹🇮🇹,2021-09-17T12:39:10Z
@hovogliadileggere,Max:think i will also shoot in monza. box: on a mercedes?,2021-09-17T12:13:06Z
@nicolascaccianoce3113,Un bellissimo spot per Palermo e per la Sicilia. Davvero Emozionante!! Complimenti a Red Bull che ha dato tanta visibilità alla straordinaria bellezza del nostro capoluogo,2021-09-17T11:51:24Z
@aliahmed-tr3ll,I&#39;ve watched this over and over and over again. When Max doughnuts around Quattro Canti Square. Can you get as smooth as this?,2021-09-17T11:17:21Z
@gokhungok2063,"Actually, i don&#39;t like sound edit.",2021-09-17T10:37:16Z
@laurentd.4473,So great ! And thumbs up to the drone pilot(s) !,2021-09-17T06:25:34Z
@santopappalardo4828,"Next time i want to see you in Catania,if it is possibile.Thanks",2021-09-17T00:24:45Z
@GianpyJP,Avete dimenticato di invitare la Mafia,2021-09-16T22:09:15Z
@alessandrocarta6323,Wow 🤩,2021-09-16T21:07:58Z
@zechist2390,Geniale e bellissimo 👏👏👏👏👏,2021-09-16T20:14:02Z
@zanyilnen,bad vfx,2021-09-16T19:39:37Z
@angelogagliardo6861,Chista si chiama meravigghia! Sicilia benda mia. 😍,2021-09-16T13:52:54Z
@giorgiaallegra2636,❤️,2021-09-16T13:01:20Z
@magarage2114,"Honda, powered RB6?",2021-09-16T04:11:58Z
@johnjames01,"Those Renault&#39;s are still useful then, Christian? 😄",2021-09-15T23:09:54Z
@Simomito297,Bellissimo video ❤🇮🇹,2021-09-15T20:22:53Z
